d25_87, 469.0, 135.0
d26_87, 469.0, 125.0
d27_87, 469.0, 120.0
d28_87, 469.0, 115.0
d0_89, 259.0, 130.0
d1_89, 264.0, 130.0
d289, 269.0, 130.0
d3_89, 274.0, 130.0
d4_89, 279.0, 130.0
d589, 284.0, 130.0
d6_89, 289.0, 130.0
d7_89, 294.0, 130.0
d8_89, 294.0, 140.0
d9_89, 289.0, 140.0
destinationGoal_89, 284.0, 140.0
d10_89, 279.0, 140.0
d11_89, 274.0, 140.0
d12_89, 269.0, 140.0
d13_89, 264.0, 140.0
d14_89, 259.0, 140.0
d15_89, 269.0, 155.0
d16_89, 269.0, 150.0
d17_89, 269.0, 145.0
d18_89, 269.0, 135.0
d19_89, 269.0, 125.0
d20_89, 269.0, 120.0
d21_89, 269.0, 115.0
d22_89, 284.0, 155.0
d23_89, 284.0, 150.0
d24_89, 284.0, 145.0
d25_89, 284.0, 135.0
d26_89, 284.0, 125.0
d27_89, 284.0, 120.0
d28_89, 284.0, 115.0
